Date-state,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2018-CO,0.738,1.208,0.817,1.184,1.161,0.883,2.046,1.361,0.778,2.381,0.816,0.780
2019-CO,1.426,1.754,2.968,1.468,2.680,1.468,1.521,1.522,0.674,0.853,1.183,1.416
2020-CO,0.659,0.964,1.270,0.618,0.884,1.016,2.030,0.816,1.112,0.754,1.013,1.032
1948-AZ,0.095,1.348,0.790,0.061,0.012,0.203,1.466,1.893,0.614,1.110,0.021,1.780
1949-AZ,3.191,0.547,0.467,0.425,0.195,0.607,1.898,1.158,1.538,0.993,0.355,1.281
1950-AZ,0.566,0.935,0.463,0.026,0.060,0.351,3.167,0.804,0.784,0.031,0.135,0.016
1951-AZ,1.541,0.493,0.540,1.567,0.369,0.000,1.630,4.808,0.473,1.441,1.004,1.770
1952-AZ,1.635,0.315,2.612,1.626,0.051,0.624,1.618,1.834,0.997,0.000,2.144,1.049
1953-AZ,0.234,0.669,1.035,0.441,0.109,0.139,3.157,1.644,0.009,0.141,0.315,0.199
1954-AZ,1.452,0.575,2.576,0.030,0.434,0.543,2.653,2.162,1.259,0.299,0.090,0.236
1955-AZ,2.264,0.361,0.093,0.115,0.097,0.610,3.457,3.751,0.082,0.344,0.415,0.516
1956-AZ,0.897,0.597,0.012,0.312,0.079,0.320,1.908,0.976,0.071,0.534,0.013,0.181
1957-AZ,2.996,0.628,0.932,0.416,0.750,0.471,1.806,2.546,0.059,2.688,0.801,0.496
1958-AZ,0.184,1.904,2.541,1.061,0.354,0.436,1.310,2.403,2.648,1.037,0.731,0.015
1959-AZ,0.239,1.427,0.008,0.285,0.085,0.319,2.062,3.456,0.239,2.058,0.716,3.001
1960-AZ,1.843,0.758,0.475,0.138,0.229,0.124,1.125,1.513,1.165,1.685,0.432,0.554
1961-AZ,0.832,0.089,0.990,0.115,0.033,0.216,1.763,3.053,1.122,0.848,0.636,1.907
1962-AZ,1.661,1.211,0.816,0.038,0.084,0.309,1.333,0.626,2.091,0.602,0.631,1.126
1963-AZ,0.674,1.322,0.675,0.444,0.007,0.033,0.951,4.106,1.363,1.145,1.477,0.144
1964-AZ,0.327,0.108,1.084,0.571,0.100,0.180,2.442,2.585,1.907,0.486,0.801,0.941
1965-AZ,1.595,1.348,1.188,1.579,0.407,0.322,1.977,1.512,1.304,0.250,1.847,5.294
1966-AZ,0.904,1.398,0.325,0.097,0.063,0.349,1.873,2.288,1.893,0.592,0.811,1.263
1967-AZ,0.360,0.100,0.559,0.450,0.333,0.488,2.927,2.383,1.737,0.342,1.072,4.308
1968-AZ,0.602,1.134,1.210,0.425,0.092,0.196,2.473,2.198,0.112,0.578,0.860,1.068
1969-AZ,1.725,1.188,0.771,0.092,0.689,0.058,2.069,2.188,1.300,0.648,1.323,0.653
1970-AZ,0.161,0.467,2.542,0.344,0.036,0.170,1.724,2.494,2.214,0.434,0.324,0.701
1971-AZ,0.164,0.716,0.063,0.313,0.299,0.022,1.322,3.920,1.580,1.803,0.381,1.481
1972-AZ,0.013,0.004,0.007,0.071,0.235,0.950,1.281,1.890,0.990,4.242,1.389,1.357
1973-AZ,0.609,2.222,3.216,0.225,0.575,0.494,1.554,1.074,0.058,0.018,0.884,0.027
1974-AZ,1.739,0.087,0.932,0.116,0.017,0.029,2.506,1.483,1.365,2.335,0.502,0.593
1975-AZ,0.540,0.628,1.427,0.828,0.089,0.017,2.199,0.628,1.563,0.213,1.085,0.854
1976-AZ,0.180,2.113,0.531,1.182,0.775,0.075,2.474,0.765,2.527,0.925,0.406,0.422
1977-AZ,1.448,0.154,0.516,0.389,0.383,0.297,1.788,2.037,1.444,1.441,0.292,1.000
1978-AZ,3.204,2.587,3.091,0.548,0.450,0.157,1.323,1.501,0.579,1.636,3.232,3.370
1979-AZ,3.353,0.712,2.223,0.156,0.893,0.383,1.225,2.116,0.212,0.390,0.322,0.576
1980-AZ,2.890,3.898,1.496,0.532,0.307,0.112,1.468,1.522,0.797,0.385,0.078,0.340
1981-AZ,0.830,0.843,2.157,0.439,0.517,0.407,2.185,1.647,1.206,1.054,1.318,0.028
1982-AZ,1.695,1.345,2.056,0.180,0.878,0.044,1.513,2.873,1.513,0.088,2.146,2.794
1983-AZ,1.420,1.621,3.274,0.575,0.055,0.024,1.828,3.412,3.806,2.151,1.190,1.572
1984-AZ,0.574,0.044,0.187,0.630,0.136,0.557,3.693,3.318,1.853,1.006,1.070,3.884
1985-AZ,1.614,1.130,0.938,0.858,0.112,0.115,1.998,1.154,2.007,1.630,2.510,0.437
1986-AZ,0.239,1.494,1.888,0.260,0.245,0.420,2.118,2.726,1.116,1.192,1.066,1.623
1987-AZ,1.030,1.661,0.682,0.422,0.599,0.320,1.176,2.153,0.889,1.481,1.529,1.637
1988-AZ,1.251,0.843,0.145,1.995,0.042,0.366,1.918,3.925,0.522,1.192,0.691,0.342
1989-AZ,1.687,0.265,0.856,0.007,0.235,0.031,1.704,1.591,0.262,1.084,0.070,0.455
1990-AZ,1.072,1.085,0.805,0.616,0.338,0.280,3.411,2.593,2.069,0.460,0.807,1.511
1991-AZ,1.193,1.132,3.462,0.003,0.057,0.232,0.954,1.800,1.153,0.637,1.244,2.156
