Date-state,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014-TN,1101.78,736.18,616.369,215.647,68.312,0,0,0,18.518,203.298,689.662,690.689
2015-TN,906.249,953.871,504.908,186.884,52.092,0,0,0,20.793,208.148,365.502,442.51
2016-TN,953.94,650.299,378.837,200.075,94.844,0,0,0,6.052,118.626,391.197,751.187
2017-TN,640.581,484.731,470.075,118.752,75.927,5.803,0,0,37.557,182.533,463.696,795.784
2018-TN,1002.755,463.296,552.268,371.826,20.896,0,0,0,1.777,176.861,623.631,699.734
2019-TN,802.543,519.474,570.819,194.766,31.365,4.634,0,0,1.27,154.749,623.73,620.508
2020-TN,698.737,609.136,356.713,309.769,121.064,4.634,0,0,25.714,178.938,407.523,808.741
1948-NY,1601.937,1335.175,1078.755,608.044,387.69,112.56,21.288,41.942,163.556,586.027,672.293,1175.92
1949-NY,1215.65,1081.919,1038.853,630.494,314.493,22.183,5.851,27.361,257.017,387.368,942.622,1172.555
1950-NY,1136.825,1289.259,1263.805,769.019,339.704,92.728,36.94,69.815,285.794,462.367,800.816,1297.936
1951-NY,1304.542,1165.253,1029.103,635.36,309.269,102.82,27.988,80.677,214.2,473.728,1009.854,1229.354
1952-NY,1312.291,1137.492,1090.967,565.754,422.989,68.988,8.033,49.393,167.333,642.348,795.942,1161.811
1953-NY,1224.93,1089.92,979.049,665.199,280.289,70.044,20.518,63.726,187.938,481.806,758.27,1065.967
1954-NY,1513.099,1041.475,1082.311,607.191,389.75,70.588,49.673,92.196,231.808,419.197,851.069,1277.204
1955-NY,1489.492,1218.03,1088.849,551.767,240.252,83.872,2.756,15.001,225.927,457.315,917.509,1458.826
1956-NY,1387.766,1158.58,1232.553,766.572,459.073,82.691,63.488,68.681,291.513,496.977,828.006,1144.962
1957-NY,1586.071,1105.641,1027.826,600.631,354.73,39.738,39.161,98.933,180.679,553.754,798.176,1094.151
1958-NY,1389.441,1394.051,1025.319,605.452,429.406,198.355,26.361,65.619,203.636,564.133,816.952,1536.977
1959-NY,1465.588,1342.251,1133.678,626.117,254.498,76.888,13.423,17.602,111.915,505.903,902.692,1191.205
1960-NY,1393.023,1135.514,1329.16,583.744,257.24,94.027,53.943,61.082,168.576,567.05,769.38,1404.773
1961-NY,1609.299,1187.839,1073.524,742.291,395.827,95.809,29.394,52.821,65.012,432.972,837.269,1245.995
1962-NY,1438.981,1328.491,1057.586,662.583,271.105,78.273,68.983,67.799,281.06,543.916,976.722,1368.885
1963-NY,1476.574,1421.854,1062.638,676.683,381.852,79.19,23.767,111.368,319.324,374.805,718.193,1509.923
1964-NY,1319.233,1270.711,1026.82,677.305,247.183,105.828,12.685,117.053,223.104,589.551,801.684,1232.908
1965-NY,1516.007,1253.501,1142.773,771.777,255.99,121.592,71.088,65.381,181.286,591.474,915.222,1142.866
1966-NY,1471.17,1240.514,1024.773,738.209,460.599,82.19,23.373,54.842,274.788,575.981,758.064,1238.963
1967-NY,1220.936,1380.579,1175.639,691.834,552.846,40.861,27.39,63.765,226.256,523.005,986.496,1191.736
1968-NY,1600.537,1377.131,988.175,529.879,413.651,116.426,23.204,72.932,144.906,457.058,909.879,1375.104
1969-NY,1418.511,1217.741,1143.695,626.382,366.226,93.679,34.613,38.909,191.187,557.029,856.985,1375.662
1970-NY,1709.909,1259.105,1151.421,656.308,300.325,99.614,22.699,46.196,173.513,449.92,782.226,1382.695
1971-NY,1591.628,1196.945,1178.94,791.163,375.333,78.211,43.326,68.687,117.192,354.547,916.623,1177.261
1972-NY,1341.004,1336.884,1186.494,833.592,294.514,130.678,26.851,81.223,193.568,684.012,961.679,1219.054
1973-NY,1294.748,1301.982,830.346,612.351,402.075,52.315,17.248,19.446,208.813,474.805,840.867,1194.541
