"date","time","RSVpos","fluApos","fluBpos","HHS_REGION"
2015.3698630137,4.3698630136987,2,1,15,"3"
2015.3698630137,4.3698630136987,12,13,60,"4"
2015.3698630137,4.3698630136987,21,4,38,"5"
2015.3698630137,4.3698630136987,18,2,16,"6"
2015.3698630137,4.3698630136987,4,0,5,"7"
2015.3698630137,4.3698630136987,17,0,39,"8"
2015.3698630137,4.3698630136987,5,7,65,"9"
2015.3698630137,4.3698630136987,3,3,58,"10"
2015.38904109589,4.38904109589043,9,1,9,"1"
2015.38904109589,4.38904109589043,5,2,19,"2"
2015.38904109589,4.38904109589043,5,1,15,"3"
2015.38904109589,4.38904109589043,11,7,60,"4"
2015.38904109589,4.38904109589043,15,9,24,"5"
2015.38904109589,4.38904109589043,21,1,9,"6"
2015.38904109589,4.38904109589043,7,0,4,"7"
2015.38904109589,4.38904109589043,6,0,27,"8"
2015.38904109589,4.38904109589043,7,17,59,"9"
2015.38904109589,4.38904109589043,4,3,41,"10"
2015.40821917808,4.40821917808216,5,1,3,"1"
2015.40821917808,4.40821917808216,3,6,9,"2"
2015.40821917808,4.40821917808216,3,1,8,"3"
2015.40821917808,4.40821917808216,9,9,38,"4"
2015.40821917808,4.40821917808216,11,7,8,"5"
2015.40821917808,4.40821917808216,7,1,12,"6"
2015.40821917808,4.40821917808216,5,1,4,"7"
2015.40821917808,4.40821917808216,4,0,22,"8"
2015.40821917808,4.40821917808216,4,13,58,"9"
2015.40821917808,4.40821917808216,0,3,22,"10"
2015.42739726027,4.42739726027389,0,2,1,"1"
2015.42739726027,4.42739726027389,2,4,10,"2"
2015.42739726027,4.42739726027389,3,0,4,"3"
2015.42739726027,4.42739726027389,8,9,38,"4"
2015.42739726027,4.42739726027389,6,1,9,"5"
2015.42739726027,4.42739726027389,10,5,11,"6"
2015.42739726027,4.42739726027389,4,1,1,"7"
2015.42739726027,4.42739726027389,11,3,13,"8"
2015.42739726027,4.42739726027389,1,6,44,"9"
2015.42739726027,4.42739726027389,1,11,21,"10"
2015.44657534247,4.44657534246585,0,3,1,"1"
2015.44657534247,4.44657534246585,2,5,3,"2"
2015.44657534247,4.44657534246585,3,0,3,"3"
2015.44657534247,4.44657534246585,10,10,33,"4"
2015.44657534247,4.44657534246585,4,3,3,"5"
2015.44657534247,4.44657534246585,6,6,4,"6"
2015.44657534247,4.44657534246585,2,0,1,"7"
2015.44657534247,4.44657534246585,2,5,4,"8"
2015.44657534247,4.44657534246585,3,15,67,"9"
2015.44657534247,4.44657534246585,3,2,10,"10"
2015.46575342466,4.46575342465758,1,1,1,"1"
2015.46575342466,4.46575342465758,0,3,0,"2"
2015.46575342466,4.46575342465758,4,4,1,"3"
2015.46575342466,4.46575342465758,1,9,14,"4"
2015.46575342466,4.46575342465758,4,4,1,"5"
2015.46575342466,4.46575342465758,9,5,2,"6"
2015.46575342466,4.46575342465758,1,0,0,"7"
2015.46575342466,4.46575342465758,3,1,6,"8"
2015.46575342466,4.46575342465758,2,13,36,"9"
2015.46575342466,4.46575342465758,0,34,17,"10"
2015.48493150685,4.48493150684931,1,0,1,"1"
2015.48493150685,4.48493150684931,2,2,0,"2"
2015.48493150685,4.48493150684931,1,1,1,"3"
2015.48493150685,4.48493150684931,5,9,10,"4"
2015.48493150685,4.48493150684931,5,1,0,"5"
2015.48493150685,4.48493150684931,8,0,4,"6"
2015.48493150685,4.48493150684931,3,1,0,"7"
2015.48493150685,4.48493150684931,3,4,0,"8"
2015.48493150685,4.48493150684931,1,26,27,"9"
2015.48493150685,4.48493150684931,2,31,3,"10"
2015.50410958904,4.50410958904104,0,1,2,"1"
2015.50410958904,4.50410958904104,0,3,0,"2"
2015.50410958904,4.50410958904104,0,1,2,"3"
2015.50410958904,4.50410958904104,10,24,6,"4"
2015.50410958904,4.50410958904104,2,3,3,"5"
2015.50410958904,4.50410958904104,8,2,1,"6"
2015.50410958904,4.50410958904104,0,0,0,"7"
2015.50410958904,4.50410958904104,4,1,0,"8"
2015.50410958904,4.50410958904104,4,26,13,"9"
2015.50410958904,4.50410958904104,0,35,6,"10"
2015.52328767123,4.52328767123277,0,2,0,"1"
2015.52328767123,4.52328767123277,1,7,1,"2"
2015.52328767123,4.52328767123277,3,0,1,"3"
2015.52328767123,4.52328767123277,9,9,13,"4"
2015.52328767123,4.52328767123277,5,5,1,"5"
2015.52328767123,4.52328767123277,5,1,0,"6"
2015.52328767123,4.52328767123277,1,1,0,"7"
2015.52328767123,4.52328767123277,2,0,4,"8"
2015.52328767123,4.52328767123277,2,19,13,"9"
2015.52328767123,4.52328767123277,0,19,3,"10"
2015.54246575342,4.54246575342472,2,2,0,"1"
2015.54246575342,4.54246575342472,3,1,1,"2"
2015.54246575342,4.54246575342472,8,6,0,"3"
2015.54246575342,4.54246575342472,7,2,11,"4"
2015.54246575342,4.54246575342472,2,5,3,"5"
2015.54246575342,4.54246575342472,7,1,5,"6"
2015.54246575342,4.54246575342472,0,1,0,"7"
2015.54246575342,4.54246575342472,0,5,1,"8"
2015.54246575342,4.54246575342472,2,14,13,"9"
2015.54246575342,4.54246575342472,0,12,3,"10"
2015.56164383562,4.56164383561645,0,0,0,"1"
2015.56164383562,4.56164383561645,1,2,0,"2"
2015.56164383562,4.56164383561645,0,1,0,"3"
2015.56164383562,4.56164383561645,7,9,5,"4"
2015.56164383562,4.56164383561645,6,2,1,"5"
2015.56164383562,4.56164383561645,2,2,2,"6"
2015.56164383562,4.56164383561645,3,3,0,"7"
2015.56164383562,4.56164383561645,3,4,3,"8"
2015.56164383562,4.56164383561645,2,18,9,"9"
2015.56164383562,4.56164383561645,0,11,1,"10"
2015.58082191781,4.58082191780818,1,0,0,"1"
2015.58082191781,4.58082191780818,5,4,0,"2"
2015.58082191781,4.58082191780818,1,1,0,"3"
2015.58082191781,4.58082191780818,6,13,4,"4"
2015.58082191781,4.58082191780818,3,4,2,"5"
2015.58082191781,4.58082191780818,9,4,0,"6"
2015.58082191781,4.58082191780818,3,17,0,"7"
2015.58082191781,4.58082191780818,4,4,1,"8"
2015.58082191781,4.58082191780818,2,11,2,"9"
2015.58082191781,4.58082191780818,0,6,0,"10"
2015.6,4.59999999999991,2,6,0,"1"
2015.6,4.59999999999991,0,12,1,"2"
2015.6,4.59999999999991,5,0,0,"3"
2015.6,4.59999999999991,3,13,1,"4"
2015.6,4.59999999999991,4,10,1,"5"
2015.6,4.59999999999991,7,1,1,"6"
2015.6,4.59999999999991,0,1,1,"7"
2015.6,4.59999999999991,1,1,0,"8"
2015.6,4.59999999999991,2,17,11,"9"
2015.6,4.59999999999991,0,14,2,"10"
2015.61917808219,4.61917808219187,1,0,1,"1"
2015.61917808219,4.61917808219187,1,8,1,"2"
2015.61917808219,4.61917808219187,2,0,0,"3"
2015.61917808219,4.61917808219187,7,20,1,"4"
2015.61917808219,4.61917808219187,3,1,0,"5"
