,HHS_region,mean_tmp
1080,region1,5.746
1081,region1,3.447
1082,region1,2.46
1083,region1,3.7030000000000003
1084,region1,3.3280000000000003
1085,region1,3.483
1086,region1,3.2430000000000003
1087,region1,1.9580000000000002
1088,region1,3.46
1089,region1,4.0360000000000005
1090,region1,2.434
1091,region1,4.0569999999999995
1092,region1,4.5569999999999995
1093,region1,5.388
1094,region1,1.848
1095,region2,2.7489999999999997
1096,region2,3.752
1097,region2,4.024
1098,region2,2.92
1099,region2,3.44
1100,region2,3.682
1101,region2,2.95
1102,region2,1.024
1103,region2,2.049
1104,region2,2.322
1105,region2,4.3180000000000005
1106,region2,3.7439999999999998
1107,region2,2.783
1108,region2,1.6780000000000002
1109,region2,3.083
1110,region2,2.231
1111,region2,3.483
1112,region2,2.5469999999999997
1113,region2,2.9410000000000003
1114,region2,1.679
1115,region2,1.9480000000000002
1116,region2,2.122
1117,region2,1.053
1118,region2,2.06
1119,region2,2.113
1120,region2,2.9339999999999997
1121,region2,2.9530000000000003
1122,region2,3.3760000000000003
1123,region2,4.242
1124,region2,2.108
1125,region2,6.287999999999999
1126,region2,6.539
1127,region2,1.25
1128,region2,0.784
1129,region2,3.245
1130,region2,2.7119999999999997
1131,region2,1.63
1132,region2,1.69
1133,region2,3.364
1134,region2,3.5869999999999997
1135,region2,1.725
1136,region2,1.69
1137,region2,3.8930000000000002
1138,region2,2.679
1139,region2,2.1519999999999997
1140,region2,3.043
1141,region2,4.041
1142,region2,3.05
1143,region2,4.545
1144,region2,2.765
1145,region2,5.412999999999999
1146,region2,5.82
1147,region2,3.36
1148,region2,1.702
1149,region2,2.1790000000000003
1150,region2,2.344
1151,region2,1.903
1152,region2,3.605
1153,region2,4.224
1154,region2,3.747
1155,region2,2.2159999999999997
1156,region2,2.5180000000000002
1157,region2,2.299
1158,region2,2.065
1159,region2,3.136
1160,region2,2.0780000000000003
1161,region2,2.6010000000000004
1162,region2,2.438
1163,region2,1.7280000000000002
1164,region2,3.347
1165,region2,3.4389999999999996
1166,region2,4.513
1167,region2,2.7739999999999996
1168,region5,1.743
1169,region5,2.639
1170,region5,3.554
1171,region5,1.37
1172,region5,2.386
1173,region5,2.119
1174,region5,1.6
1175,region5,1.429
1176,region5,0.83
1177,region5,1.228
1178,region5,1.375
1179,region5,1.374
1180,region5,2.032
1181,region5,0.882
1182,region5,2.1959999999999997
1183,region5,1.275
1184,region5,1.874
1185,region5,1.9669999999999999
1186,region5,1.7590000000000001
1187,region5,3.22
1188,region5,1.374
1189,region5,2.978
1190,region5,1.946
1191,region5,3.1489999999999996
1192,region5,1.7790000000000001
1193,region5,1.57
1194,region5,1.818
1195,region5,2.7969999999999997
1196,region5,2.1830000000000003
1197,region5,1.6680000000000001
1198,region5,2.326
1199,region5,2.305
1200,region5,2.595
1201,region5,1.202
1202,region5,3.4589999999999996
1203,region5,1.4609999999999999
1204,region5,1.182
1205,region5,2.086
1206,region5,1.5019999999999998
1207,region5,1.121
1208,region5,2.063
1209,region5,1.838
1210,region5,2.29
1211,region5,1.337
1212,region5,1.796
1213,region5,1.966
1214,region5,2.042
1215,region5,2.173
1216,region5,2.9589999999999996
1217,region5,3.81
1218,region5,2.109
1219,region5,3.312
1220,region5,2.1919999999999997
1221,region5,1.57
1222,region5,0.9059999999999999
1223,region5,1.3119999999999998
1224,region5,2.472
1225,region5,1.9340000000000002
1226,region5,2.289
1227,region5,1.685
1228,region5,3.196
1229,region5,1.4569999999999999
1230,region5,1.186
1231,region5,1.499
1232,region5,2.343
1233,region5,2.963
1234,region5,2.434
1235,region5,1.5090000000000001
1236,region5,2.237
1237,region5,2.398
1238,region5,1.903
1239,region5,2.615
1240,region5,2.3280000000000003
1241,region6,1.5330000000000001
1242,region6,4.566
1243,region6,2.228
1244,region6,1.314
1245,region6,1.053
1246,region6,0.805
1247,region6,1.368
1248,region6,1.57
1249,region6,1.4380000000000002
1250,region6,1.3459999999999999
1251,region6,2.286
1252,region6,0.40399999999999997
1253,region6,2.4859999999999998
1254,region6,2.9730000000000003
1255,region6,1.335
1256,region6,0.5579999999999999
1257,region6,1.864
1258,region6,1.903
1259,region6,1.7519999999999998
1260,region6,0.353
1261,region6,4.084
1262,region6,0.915
1263,region6,0.59
1264,region6,0.254
1265,region6,1.588
1266,region6,3.055
1267,region6,2.289
1268,region6,1.42
1269,region6,0.517
1270,region6,1.729
1271,region6,1.868
1272,region6,2.945
1273,region6,1.9680000000000002
1274,region6,0.77
1275,region6,1.409
1276,region6,1.5819999999999999
1277,region6,1.084
1278,region6,1.274
1279,region6,0.198
1280,region6,1.3419999999999999
1281,region6,0.6940000000000001
1282,region6,2.471
1283,region6,3.3539999999999996
1284,region6,3.844
1285,region6,2.9160000000000004
1286,region6,2.516
1287,region6,1.469
1288,region6,2.248
1289,region6,0.7340000000000001
1290,region6,1.338
1291,region6,3.0389999999999997
1292,region6,2.802
1293,region6,1.2229999999999999
1294,region6,2.795
1295,region6,1.45
1296,region6,0.373
1297,region6,2.256
1298,region6,2.365
1299,region6,1.58
1300,region6,3.582
1301,region6,0.8029999999999999
1302,region6,0.624
1303,region6,2.434
1304,region6,1.666
1305,region6,3.036
1306,region6,2.782
1307,region6,0.41100000000000003
1308,region6,3.125
1309,region6,0.8009999999999999
1310,region6,2.9130000000000003
1311,region6,0.706
1312,region6,1.79
1313,region6,2.511
1314,region7,2.435
1315,region7,6.849
1316,region7,6.484
1317,region7,2.853
1318,region7,1.828
1319,region7,1.864
1320,region7,2.25
1321,region7,1.065
1322,region7,1.251
1323,region7,2.73
1324,region7,1.777
1325,region7,2.3680000000000003
